model,device,prompt_length,gen_tokens,run_index,latency_ms
Qwen/Qwen2.5-0.5B,cpu,512,32,8,8366.921200067736
Qwen/Qwen2.5-0.5B,cpu,512,32,9,8396.297900006175
Qwen/Qwen2.5-0.5B,cpu,512,32,10,9289.51410006266
Qwen/Qwen2.5-0.5B,cpu,512,32,11,7864.787600003183
Qwen/Qwen2.5-0.5B,cpu,512,32,12,7787.41660004016
Qwen/Qwen2.5-0.5B,cpu,512,32,13,7450.734699959867
Qwen/Qwen2.5-0.5B,cpu,512,32,14,8337.388800107874
Qwen/Qwen2.5-0.5B,cpu,512,32,15,9015.582600026391
Qwen/Qwen2.5-0.5B,cpu,512,32,16,11170.175300096162
Qwen/Qwen2.5-0.5B,cpu,512,32,17,9909.994999994524
Qwen/Qwen2.5-0.5B,cpu,512,32,18,8267.371300025843
Qwen/Qwen2.5-0.5B,cpu,512,32,19,8435.439600027166
Qwen/Qwen2.5-0.5B,cpu,512,64,0,19184.107700013556
Qwen/Qwen2.5-0.5B,cpu,512,64,1,24140.553200035356
Qwen/Qwen2.5-0.5B,cpu,512,64,2,27533.156899968162
Qwen/Qwen2.5-0.5B,cpu,512,64,3,25499.57370001357
Qwen/Qwen2.5-0.5B,cpu,512,64,4,25268.025500001386
Qwen/Qwen2.5-0.5B,cpu,512,64,5,24715.396199957468
Qwen/Qwen2.5-0.5B,cpu,512,64,6,24609.168600058183
Qwen/Qwen2.5-0.5B,cpu,512,64,7,25200.465600006282
Qwen/Qwen2.5-0.5B,cpu,512,64,8,28535.027600009926
Qwen/Qwen2.5-0.5B,cpu,512,64,9,29447.11179996375
Qwen/Qwen2.5-0.5B,cpu,512,64,10,27740.33940001391
Qwen/Qwen2.5-0.5B,cpu,512,64,11,28511.2638999708
Qwen/Qwen2.5-0.5B,cpu,512,64,12,16492.404100019485
Qwen/Qwen2.5-0.5B,cpu,512,64,13,17279.494300018996
Qwen/Qwen2.5-0.5B,cpu,512,64,14,13875.381999998353
Qwen/Qwen2.5-0.5B,cpu,512,64,15,14326.755800051615
Qwen/Qwen2.5-0.5B,cpu,512,64,16,13008.834299980663
Qwen/Qwen2.5-0.5B,cpu,512,64,17,13957.320500048809
Qwen/Qwen2.5-0.5B,cpu,512,64,18,14544.757399940863
Qwen/Qwen2.5-0.5B,cpu,512,64,19,19184.5794999972
Qwen/Qwen2.5-0.5B,cpu,1024,8,0,9148.448999971151
Qwen/Qwen2.5-0.5B,cpu,1024,8,1,9960.76789998915
Qwen/Qwen2.5-0.5B,cpu,1024,8,2,10261.317399912514
Qwen/Qwen2.5-0.5B,cpu,1024,8,3,9551.903499988839
Qwen/Qwen2.5-0.5B,cpu,1024,8,4,9244.584399973974
Qwen/Qwen2.5-0.5B,cpu,1024,8,5,9606.54990002513
Qwen/Qwen2.5-0.5B,cpu,1024,8,6,9453.301700064912
Qwen/Qwen2.5-0.5B,cpu,1024,8,7,9536.473899963312
Qwen/Qwen2.5-0.5B,cpu,1024,8,8,9744.520199950784
Qwen/Qwen2.5-0.5B,cpu,1024,8,9,9341.342099942267
Qwen/Qwen2.5-0.5B,cpu,1024,8,10,9436.974799958989
Qwen/Qwen2.5-0.5B,cpu,1024,8,11,8068.324099993333
Qwen/Qwen2.5-0.5B,cpu,1024,8,12,7729.791599907912
Qwen/Qwen2.5-0.5B,cpu,1024,8,13,7595.863900030963
Qwen/Qwen2.5-0.5B,cpu,1024,8,14,7822.886900044978
Qwen/Qwen2.5-0.5B,cpu,1024,8,15,7878.29939997755
Qwen/Qwen2.5-0.5B,cpu,1024,8,16,7991.523200063966
