consensus_type,validator_count,offered_load_tps,validator_failure_rate,malicious_validator_ratio,throughput_tps,confirmation_latency_ms,p95_confirmation_latency_ms,consensus_success_rate,failed_tx_rate,finality_delay_ms,communication_overhead_normalized,benchmark_type
poa_like,8,100,0.2,0.0,98.80803645101942,200.20000000000002,270.27000000000004,0.55,0.44999999999999996,220.22000000000003,0.5,consensus_scalability_simulation
poa_like,8,100,0.2,0.1,0.0,569.799996612,1054.1299908832,0.0,1.0,626.7799962732,0.5,consensus_scalability_simulation
poa_like,8,100,0.2,0.25,0.0,615.999996612,1139.5999906522002,0.0,1.0,677.5999962732001,0.5,consensus_scalability_simulation
poa_like,8,200,0.0,0.0,198.61049040514288,154.0,207.9,1.0,0.0,169.4,0.5,consensus_scalability_simulation
poa_like,8,200,0.0,0.1,0.0,523.5999983060001,968.6599955571003,0.0,1.0,575.9599981366001,0.5,consensus_scalability_simulation
poa_like,8,200,0.0,0.25,0.0,569.799998306,1054.1299954416002,0.0,1.0,626.7799981366,0.5,consensus_scalability_simulation
poa_like,8,200,0.05,0.0,202.06821170171224,165.54999999999998,223.49249999999998,0.8875,0.11250000000000004,182.105,0.5,consensus_scalability_simulation
poa_like,8,200,0.05,0.1,0.0,535.149998306,990.0274955282251,0.0,1.0,588.6649981366,0.5,consensus_scalability_simulation
poa_like,8,200,0.05,0.25,0.0,581.3499983060001,1075.4974954127251,0.0,1.0,639.4849981366001,0.5,consensus_scalability_simulation
poa_like,8,200,0.1,0.0,199.24941379844623,177.1,239.085,0.775,0.22499999999999998,194.81,0.5,consensus_scalability_simulation
poa_like,8,200,0.1,0.1,0.0,546.699998306,1011.3949954993501,0.0,1.0,601.3699981366001,0.5,consensus_scalability_simulation
poa_like,8,200,0.1,0.25,0.0,592.899998306,1096.86499538385,0.0,1.0,652.1899981366001,0.5,consensus_scalability_simulation
poa_like,8,200,0.2,0.0,199.0889588349058,200.20000000000002,270.27000000000004,0.55,0.44999999999999996,220.22000000000003,0.5,consensus_scalability_simulation
poa_like,8,200,0.2,0.1,0.0,569.799998306,1054.1299954416002,0.0,1.0,626.7799981366,0.5,consensus_scalability_simulation
poa_like,8,200,0.2,0.25,0.0,615.999998306,1139.5999953261,0.0,1.0,677.5999981366,0.5,consensus_scalability_simulation
poa_like,8,400,0.0,0.0,398.81629463220565,154.0,207.9,1.0,0.0,169.4,0.5,consensus_scalability_simulation
poa_like,8,400,0.0,0.1,0.0,523.599999153,968.65999777855,0.0,1.0,575.9599990683,0.5,consensus_scalability_simulation
poa_like,8,400,0.0,0.25,0.0,569.799999153,1054.1299977208,0.0,1.0,626.7799990683001,0.5,consensus_scalability_simulation
poa_like,8,400,0.05,0.0,356.02867931446565,200.77379807692307,281.4814864985901,0.8367514272836538,0.16324857271634619,220.8511778846154,0.5,consensus_scalability_simulation
poa_like,8,400,0.05,0.1,0.0,535.1499991530001,990.0274977641126,0.0,1.0,588.6649990683002,0.5,consensus_scalability_simulation
poa_like,8,400,0.05,0.25,0.0,581.349999153,1075.4974977063625,0.0,1.0,639.4849990683,0.5,consensus_scalability_simulation
poa_like,8,400,0.1,0.0,312.86742193219135,250.80528846153845,365.86824351654957,0.6822701322115384,0.3177298677884616,275.8858173076923,0.5,consensus_scalability_simulation
poa_like,8,400,0.1,0.1,0.0,546.699999153,1011.394997749675,0.0,1.0,601.3699990683001,0.5,consensus_scalability_simulation
